,aircraftRegistration,Luchthaven,Stad,Land,flightName
10,OEIXF,Charles de Gaulle,Parijs,Frankrijk,FX4235
63,PHEZW,Brussels,Brussel,België,DL9606
64,PHEZW,Brussels,Brussel,België,MF9353
65,PHEZW,Brussels,Brussel,België,MU1833
66,PHEZW,Brussels,Brussel,België,KL1701
70,PHAXB,Charles de Gaulle,Parijs,Frankrijk,DL9205
71,PHAXB,Charles de Gaulle,Parijs,Frankrijk,MU1555
72,PHAXB,Charles de Gaulle,Parijs,Frankrijk,VN3107
73,PHAXB,Charles de Gaulle,Parijs,Frankrijk,KL1401
74,PHAXB,Charles de Gaulle,Parijs,Frankrijk,AF8373
75,PHEZC,Zurich Airport,Zurich,Zwitserland,KL1917
76,PHEZC,Zurich Airport,Zurich,Zwitserland,CZ7704
77,PHEZC,Zurich Airport,Zurich,Zwitserland,DL9432
78,PHEZC,Zurich Airport,Zurich,Zwitserland,MF9724
79,PHEZC,Zurich Airport,Zurich,Zwitserland,MU1781
80,PHEXK,Ruzyne,Praag,Tsjechië,KL1351
81,PHEXK,Ruzyne,Praag,Tsjechië,CI9481
82,PHEXK,Ruzyne,Praag,Tsjechië,DL9532
105,PHEXX,Hamburg Airport,Hamburg,Duitsland,KL1751
106,PHEXX,Hamburg Airport,Hamburg,Duitsland,CZ7665
107,PHEXX,Hamburg Airport,Hamburg,Duitsland,DL9327
108,PHEXX,Hamburg Airport,Hamburg,Duitsland,KE6435
109,PHEXX,Hamburg Airport,Hamburg,Duitsland,MU1605
123,,Brussels,Brussel,België,KL9935
126,SEROX,Kastrup,Kopenhagen,Denemarken,SK550
127,HBIOF,Zurich Airport,Zurich,Zwitserland,LX737
139,OELSU,Gatwick,Londen,Verenigd Koninkrijk,EJU8672
141,OELXE,Schwechat Intl,Wenen,Oostenrijk,OS378
142,DAIUH,Münich International,München,Duitsland,LH2311
143,PHEXE,London City Airport,Londen,Verenigd Koninkrijk,KL0977
144,PHEXE,London City Airport,Londen,Verenigd Koninkrijk,DL9195
145,PHEXE,London City Airport,Londen,Verenigd Koninkrijk,VS7043
181,PHEXI,Brussels,Brussel,België,KQ1720
182,PHEXI,Brussels,Brussel,België,MF9352
183,PHEXI,Brussels,Brussel,België,KL1700
184,PHEXI,Brussels,Brussel,België,AM6373
185,PHEXI,Brussels,Brussel,België,DL9524
186,OELSV,Kastrup,Kopenhagen,Denemarken,EJU7939
192,PHBCA,Hamburg Airport,Hamburg,Duitsland,KL1750
193,PHBCA,Hamburg Airport,Hamburg,Duitsland,AM6246
194,PHBCA,Hamburg Airport,Hamburg,Duitsland,CZ7780
195,PHBCA,Hamburg Airport,Hamburg,Duitsland,DL9268
196,PHBCA,Hamburg Airport,Hamburg,Duitsland,UX3760
206,PHAXA,Charles de Gaulle,Parijs,Frankrijk,KL1403
207,PHAXA,Charles de Gaulle,Parijs,Frankrijk,AF5473
208,PHAXA,Charles de Gaulle,Parijs,Frankrijk,DL9206
209,PHAXA,Charles de Gaulle,Parijs,Frankrijk,GA9240
210,PHAXA,Charles de Gaulle,Parijs,Frankrijk,KQ1223
211,PHAXA,Charles de Gaulle,Parijs,Frankrijk,MK7591
219,GEUOE,Heathrow,Londen,Verenigd Koninkrijk,BA423
220,PHEXA,Heathrow,Londen,Verenigd Koninkrijk,DL9640
221,PHEXA,Heathrow,Londen,Verenigd Koninkrijk,MF9636
222,PHEXA,Heathrow,Londen,Verenigd Koninkrijk,VS7058
223,PHEXA,Heathrow,Londen,Verenigd Koninkrijk,KL1001
224,PHEXA,Heathrow,Londen,Verenigd Koninkrijk,CZ7601
225,PHEXG,Luxembourg,Luxemburg,Luxemburg,KL1708
226,PHEXG,Luxembourg,Luxemburg,Luxemburg,DL9609
227,PHEXG,Luxembourg,Luxemburg,Luxemburg,UX3752
237,PHAXC,Brandenburg,Berlijn,Duitsland,CZ7702
238,PHAXC,Brandenburg,Berlijn,Duitsland,DL9441
239,PHAXC,Brandenburg,Berlijn,Duitsland,GA9767
240,PHAXC,Brandenburg,Berlijn,Duitsland,MF9328
241,PHAXC,Brandenburg,Berlijn,Duitsland,SV6345
242,PHAXC,Brandenburg,Berlijn,Duitsland,UX3758
243,PHAXC,Brandenburg,Berlijn,Duitsland,KL1770
244,PHAXC,Brandenburg,Berlijn,Duitsland,AM6219
245,PHBCB,Kastrup,Kopenhagen,Denemarken,KL1266
246,PHBCB,Kastrup,Kopenhagen,Denemarken,AM6377
247,PHBCB,Kastrup,Kopenhagen,Denemarken,CZ7753
248,PHBCB,Kastrup,Kopenhagen,Denemarken,DL9480
249,PHBCB,Kastrup,Kopenhagen,Denemarken,GA9759
250,PHBCB,Kastrup,Kopenhagen,Denemarken,G35580
251,PHBCB,Kastrup,Kopenhagen,Denemarken,MF9370
252,PHBCB,Kastrup,Kopenhagen,Denemarken,RO9303
253,PHBCB,Kastrup,Kopenhagen,Denemarken,SK6600
254,PHBCB,Kastrup,Kopenhagen,Denemarken,UX3756
271,PHBCG,Ruzyne,Praag,Tsjechië,KL1350
272,PHBCG,Ruzyne,Praag,Tsjechië,CI9488
273,PHBCG,Ruzyne,Praag,Tsjechië,DL9405
274,PHBCG,Ruzyne,Praag,Tsjechië,GA9531
285,PHBXT,Kastrup,Kopenhagen,Denemarken,KL1267
286,PHBXT,Kastrup,Kopenhagen,Denemarken,CZ7626
287,PHBXT,Kastrup,Kopenhagen,Denemarken,DL9209
288,PHBXT,Kastrup,Kopenhagen,Denemarken,EY7321
289,PHBXT,Kastrup,Kopenhagen,Denemarken,GA9758
290,PHBXT,Kastrup,Kopenhagen,Denemarken,KE6441
291,PHBXT,Kastrup,Kopenhagen,Denemarken,MF9371
292,PHBXT,Kastrup,Kopenhagen,Denemarken,MU1795
293,PHBXT,Kastrup,Kopenhagen,Denemarken,SK6601
317,PHEXU,Münich International,München,Duitsland,MU1593
318,PHEXU,Münich International,München,Duitsland,GA9017
319,PHEXU,Münich International,München,Duitsland,KE6499
320,PHEXU,Münich International,München,Duitsland,MF9682
321,PHEXU,Münich International,München,Duitsland,KL1849
322,PHEXU,Münich International,München,Duitsland,CZ7745
323,PHEXU,Münich International,München,Duitsland,DL9368
382,FHZUM,Charles de Gaulle,Parijs,Frankrijk,AF1436
383,FHZUM,Charles de Gaulle,Parijs,Frankrijk,KL2435
