,aircraftRegistration,route.destinations,Luchthaven,Stad,Land,flightName
0,PHHXB,HRG,Hurghada International,Hurghada,Egypte,HV5226
1,PHHSK,DXB,Dubai International,Dubai,Verenigde Arabische Emiraten,HV6902
2,PHYHZ,TFS,Tenerife-Sur,Tenerife,Spanje,HV6672
3,PHYHZ,TFS,Tenerife-Sur,Tenerife,Spanje,KL2591
4,PHYHZ,TFS,Tenerife-Sur,Tenerife,Spanje,DL7488
5,JA16KZ,NRT,Narita,Narita,Japan,KZ004
6,DAEAK,LEJ,Leipzig/Halle Airport,Leipzig,Duitsland,QY1446
7,OEIXF,CDG,Charles de Gaulle,Parijs,Frankrijk,FX4235
8,PHBQN,ICN,Incheon,Seoel & Incheon,Zuid-Korea,KE5925
9,PHBQN,ICN,Incheon,Seoel & Incheon,Zuid-Korea,KL0856
10,PHBQN,ICN,Incheon,Seoel & Incheon,Zuid-Korea,AF3112
11,PHBVA,PBM,Johan Adolf Pengel,Zanderij,Suriname,KL0714
12,PHBHI,CGK,Soekarno-Hatta Intl,Jakarta,Indonesië,MH5632
13,PHBHI,CGK,Soekarno-Hatta Intl,Jakarta,Indonesië,KL0810
14,PHBHI,CGK,Soekarno-Hatta Intl,Jakarta,Indonesië,AF8398
15,PHBHI,CGK,Soekarno-Hatta Intl,Jakarta,Indonesië,GA9088
16,PHBVI,ACC,Kotoka Accra,Accra,Ghana,KL0590
17,PHBVI,ACC,Kotoka Accra,Accra,Ghana,AF8248
18,PHBVI,ACC,Kotoka Accra,Accra,Ghana,DL9373
19,N426DZ,JFK,John F Kennedy Intl,New York,Verenigde Staten,DL0046
20,N426DZ,JFK,John F Kennedy Intl,New York,Verenigde Staten,AF5591
21,N426DZ,JFK,John F Kennedy Intl,New York,Verenigde Staten,KL6070
22,N426DZ,JFK,John F Kennedy Intl,New York,Verenigde Staten,VS3928
23,PHBHM,ATL,Hartsfield-Jackson Int,Atlanta,Verenigde Staten,KL0624
24,PHBHM,ATL,Hartsfield-Jackson Int,Atlanta,Verenigde Staten,DL9667
25,PHBHM,ATL,Hartsfield-Jackson Int,Atlanta,Verenigde Staten,VS7113
26,PHBHM,ATL,Hartsfield-Jackson Int,Atlanta,Verenigde Staten,AF6695
27,PHHSM,ACE,Lanzarote,Lanzarote,Spanje,HV5685
28,N811NW,DTW,Detroit Metropolitan Wayne Co.,Detroit,Verenigde Staten,DL0132
29,N811NW,DTW,Detroit Metropolitan Wayne Co.,Detroit,Verenigde Staten,AF5606
30,N811NW,DTW,Detroit Metropolitan Wayne Co.,Detroit,Verenigde Staten,KL6018
31,N811NW,DTW,Detroit Metropolitan Wayne Co.,Detroit,Verenigde Staten,VS3929
32,PHAOF,LOS,Murtala Muhammed,Lagos,Nigeria,KL0588
33,PHAOF,LOS,Murtala Muhammed,Lagos,Nigeria,AF5479
34,PHAOF,LOS,Murtala Muhammed,Lagos,Nigeria,DL9507
35,PHHXG,DXB,Dubai International,Dubai,Verenigde Arabische Emiraten,HV6901
36,PHHXN,FNC,Madeira,Funchal,Portugal,HV6629
37,PHHXN,FNC,Madeira,Funchal,Portugal,DL7508
38,PHHXN,FNC,Madeira,Funchal,Portugal,KL2697
39,BLXD,HKG,Hongkong,Hongkong,Hongkong,CX271
40,PHHSK,VLC,Valencia Airport,Valencia,Spanje,HV6331
41,PHHSK,VLC,Valencia Airport,Valencia,Spanje,KL2659
42,PHHSK,VLC,Valencia Airport,Valencia,Spanje,DL7515
43,PHHSB,AGP,Malaga Airport,Málaga,Spanje,HV6115
44,PHHSB,AGP,Malaga Airport,Málaga,Spanje,DL7481
45,PHHSB,AGP,Malaga Airport,Málaga,Spanje,KL2649
46,PHBCD,OSL,Gardermoen,Oslo,Noorwegen,DL9593
47,PHBCD,OSL,Gardermoen,Oslo,Noorwegen,GA9478
48,PHBCD,OSL,Gardermoen,Oslo,Noorwegen,KE6431
49,PHBCD,OSL,Gardermoen,Oslo,Noorwegen,MF9704
50,PHBCD,OSL,Gardermoen,Oslo,Noorwegen,SK6683
51,PHBCD,OSL,Gardermoen,Oslo,Noorwegen,KL1197
52,PHBCD,OSL,Gardermoen,Oslo,Noorwegen,CZ7613
53,9VSJF,SIN,Changi,Singapore,Singapore,SQ324
54,PHEXO,PRG,Ruzyne,Praag,Tsjechië,KL1351
55,PHEXO,PRG,Ruzyne,Praag,Tsjechië,CI9481
56,PHEXO,PRG,Ruzyne,Praag,Tsjechië,DL9532
57,PHYHA,ALC,Alicante Airport,Alicante,Spanje,HV6143
58,PHYHA,ALC,Alicante Airport,Alicante,Spanje,DL7484
59,PHYHA,ALC,Alicante Airport,Alicante,Spanje,KL2641
60,PHEZO,BRU,Brussels,Brussel,België,KL1701
61,PHEZO,BRU,Brussels,Brussel,België,DL9606
62,PHEZO,BRU,Brussels,Brussel,België,MF9353
63,PHEZO,BRU,Brussels,Brussel,België,MU1833
64,PHEXY,ZRH,Zurich Airport,Zurich,Zwitserland,DL9432
65,PHEXY,ZRH,Zurich Airport,Zurich,Zwitserland,MF9724
