,Bestemming,Treintijd,Betrouwbaarheid_Tr,Vluchttijd,Betrouwbaarheid_Vl,Treintijd_min,Treintijd_uur,Vluchttijd_min,Vluchttijd_uur,TijdVerschil_min
0,Antwerpen,01:20,hoog,9:30,laag,80,1.3333333333333333,570,9.5,-490
1,Berlijn,05:51,hoog,1:15,hoog,351,5.85,75,1.25,276
2,Brussel,01:56,hoog,0:40,hoog,116,1.9333333333333333,40,0.6666666666666666,76
3,Parijs,03:27,hoog,1:10,hoog,207,3.45,70,1.1666666666666667,137
4,Praag,12:50,laag,1:20,hoog,770,12.833333333333334,80,1.3333333333333333,690
5,Londen,04:36,hoog,1:05,hoog,276,4.6,65,1.0833333333333333,211
6,Hamburg,05:14,hoog,1:00,hoog,314,5.233333333333333,60,1.0,254
7,Frankfurt,03:53,hoog,1:05,hoog,233,3.8833333333333333,65,1.0833333333333333,168
8,Wenen,13:27,laag,1:45,hoog,807,13.45,105,1.75,702
9,Luxemburg,06:04,hoog,0:55,hoog,364,6.066666666666666,55,0.9166666666666666,309
10,Milaan,14:35,laag,1:35,hoog,875,14.583333333333334,95,1.5833333333333333,780
11,Venetie,17:57,laag,1:45,hoog,1077,17.95,105,1.75,972
12,Munchen,07:48,laag,1:20,hoog,468,7.8,80,1.3333333333333333,388
13,Zurich,07:00,laag,1:20,hoog,420,7.0,80,1.3333333333333333,340
14,Marseille,07:38,hoog,1:45,hoog,458,7.633333333333334,105,1.75,353
15,Nice,10:52,hoog,1:45,hoog,652,10.866666666666667,105,1.75,547
16,Kopenhagen,12:34,laag,1:20,hoog,754,12.566666666666666,80,1.3333333333333333,674
17,Geneve,07:14,hoog,1:30,hoog,434,7.233333333333333,90,1.5,344
