,Unnamed: 0,Time,Latitude,Longitude,Course,Speed_kts,Speed_mph,Altitude_feet,ClimbRate,ReportingFacility,FlightType,FlightNumber,ScrapeTime,cumsum_ClimbRate,alt_norm
1149,19040,Mon 08:11:46 AM,49.0208,2.5167,← 265°,157.0,181.0,900,0.0,FlightAware ADS-B (LFPL),Arrivals,HOP1740,2025-03-24 14:11:45,0.0,0.13817590058436274
1150,19041,Mon 08:12:03 AM,49.02,2.4992,← 266°,154.0,177.0,"1,750",2682.0,FlightAware ADS-B (LFPP),Arrivals,HOP1740,2025-03-24 14:11:45,2682.0,0.16297433242103707
1151,19042,Mon 08:12:19 AM,49.0192,2.4807,← 266°,157.0,181.0,"2,375",2344.0,FlightAware ADS-B (CDG / LFPG),Arrivals,HOP1740,2025-03-24 14:11:45,5026.0,0.18464753310156076
1152,19043,Mon 08:12:35 AM,49.0183,2.4636,← 265°,160.0,184.0,"3,000",2391.0,FlightAware ADS-B (LFFE),Arrivals,HOP1740,2025-03-24 14:11:45,7417.0,0.20675530734521785
1153,19044,Mon 08:12:51 AM,49.0172,2.4448,← 266°,166.0,191.0,"3,650",1781.0,FlightAware ADS-B (TNF / LFPN),Arrivals,HOP1740,2025-03-24 14:11:45,9198.0,0.22322287151416526
1154,19045,Mon 08:13:07 AM,49.0171,2.4247,← 280°,195.0,224.0,"3,950",797.0,FlightAware ADS-B (CDG / LFPG),Arrivals,HOP1740,2025-03-24 14:11:45,9995.0,0.23059212959538428
1155,19046,Mon 08:13:23 AM,49.0243,2.4038,← 312°,227.0,261.0,"4,075",1313.0,FlightAware ADS-B (TNF / LFPN),Arrivals,HOP1740,2025-03-24 14:11:45,11308.0,0.24273245062504623
1156,19047,Mon 08:13:39 AM,49.0372,2.3876,↖ 329°,236.0,272.0,"4,650",2162.0,FlightAware ADS-B (LFPH),Arrivals,HOP1740,2025-03-24 14:11:45,13470.0,0.26272283452918116
1157,19048,Mon 08:13:57 AM,49.0545,2.3744,↖ 336°,251.0,289.0,"5,300",2077.0,FlightAware ADS-B (LFFE),Arrivals,HOP1740,2025-03-24 14:11:45,15547.0,0.2819272875212664
1158,19049,Mon 08:14:18 AM,49.0777,2.3562,↖ 330°,270.0,311.0,"6,000",2488.0,FlightAware ADS-B (ORY / LFPO),Arrivals,HOP1740,2025-03-24 14:11:45,18035.0,0.3049319476292625
1159,19050,Mon 08:14:38 AM,49.0996,2.3364,↖ 329°,275.0,316.0,"7,000",2898.0,FlightAware ADS-B (LBG / LFPB),Arrivals,HOP1740,2025-03-24 14:11:45,20933.0,0.3317275686071455
1160,19051,Mon 08:15:02 AM,49.1267,2.3111,↖ 330°,281.0,323.0,"8,125",2930.0,FlightAware ADS-B (ORY / LFPO),Arrivals,HOP1740,2025-03-24 14:11:45,23863.0,0.3588190694578001
1161,19052,Mon 08:15:21 AM,49.1509,2.3011,↑ 1°,285.0,328.0,"9,100",2786.0,FlightAware ADS-B (LFPZ),Arrivals,HOP1740,2025-03-24 14:11:45,26649.0,0.38457911088098234
1162,19053,Mon 08:15:37 AM,49.1701,2.3079,↑ 21°,293.0,337.0,"9,750",1688.0,FlightAware ADS-B (BVA / LFOB),Arrivals,HOP1740,2025-03-24 14:11:45,28337.0,0.4001867741696871
1163,19054,Mon 08:15:53 AM,49.1921,2.3224,↗ 25°,296.0,341.0,"10,000",326.0,FlightAware ADS-B (LFSW),Arrivals,HOP1740,2025-03-24 14:11:45,28663.0,0.40320105037354836
1164,19055,Mon 08:16:23 AM,49.2278,2.3472,↗ 24°,297.0,342.0,"10,000",0.0,FlightAware ADS-B (EGKE),Arrivals,HOP1740,2025-03-24 14:11:45,28663.0,0.40320105037354836
1165,19056,Mon 08:16:53 AM,49.2702,2.3759,↗ 24°,331.0,381.0,"10,000",350.0,FlightAware ADS-B (LFOR),Arrivals,HOP1740,2025-03-24 14:11:45,29013.0,0.4064372364819883
1166,19057,Mon 08:17:23 AM,49.3119,2.4043,↗ 24°,355.0,409.0,"10,350",2050.0,FlightAware ADS-B (LBG / LFPB),Arrivals,HOP1740,2025-03-24 14:11:45,31063.0,0.42539204083142246
1167,19058,Mon 08:17:53 AM,49.3569,2.4349,↗ 24°,349.0,402.0,"12,050",3000.0,FlightAware ADS-B (LBG / LFPB),Arrivals,HOP1740,2025-03-24 14:11:45,34063.0,0.4531307789037651
1168,19059,Mon 08:18:23 AM,49.4006,2.4645,↗ 24°,354.0,407.0,"13,350",2650.0,FlightAware ADS-B (LBG / LFPB),Arrivals,HOP1740,2025-03-24 14:11:45,36713.0,0.47763333086766774
1169,19060,Mon 08:18:53 AM,49.4455,2.4949,↗ 24°,358.0,412.0,"14,700",2600.0,FlightAware ADS-B (EVX / LFOE),Arrivals,HOP1740,2025-03-24 14:11:45,39313.0,0.5016735705303647
1170,19061,Mon 08:19:23 AM,49.4917,2.5263,↗ 24°,364.0,419.0,"15,950",2463.0,FlightAware ADS-B (ESH / EGKA),Arrivals,HOP1740,2025-03-24 14:11:45,41776.0,0.524447074487758
1171,19062,Mon 08:20:00 AM,49.549,2.5703,↗ 28°,371.0,427.0,"17,450",2373.0,FlightAware ADS-B (LFFC),Arrivals,HOP1740,2025-03-24 14:11:45,44149.0,0.546388416302981
1172,19063,Mon 08:20:30 AM,49.5944,2.6068,↗ 28°,377.0,434.0,"18,600",2375.0,FlightAware ADS-B (ORY / LFPO),Arrivals,HOP1740,2025-03-24 14:11:45,46524.0,0.5683482506102523
1173,19064,Mon 08:21:00 AM,49.6414,2.6446,↗ 28°,378.0,435.0,"19,825",2175.0,FlightAware ADS-B (URO / LFOP),Arrivals,HOP1740,2025-03-24 14:11:45,48699.0,0.5884588357127006
1174,19065,Mon 08:21:30 AM,49.6897,2.6835,↗ 28°,386.0,444.0,"20,775",1925.0,FlightAware ADS-B (OST / EBOS),Arrivals,HOP1740,2025-03-24 14:11:45,50624.0,0.6062578593091205
1175,19066,Mon 08:22:00 AM,49.7353,2.7203,↗ 28°,390.0,449.0,"21,750",1850.0,FlightAware ADS-B (LFON),Arrivals,HOP1740,2025-03-24 14:11:45,52474.0,0.6233634144537318
1176,19067,Mon 08:22:30 AM,49.7833,2.7591,↗ 28°,395.0,455.0,"22,625",1825.0,FlightAware ADS-B (LFQD),Arrivals,HOP1740,2025-03-24 14:11:45,54299.0,0.6402378134477402
1177,19068,Mon 08:23:00 AM,49.831,2.7977,↗ 28°,397.0,457.0,"23,575",1825.0,FlightAware ADS-B (RHE / LFSR),Arrivals,HOP1740,2025-03-24 14:11:45,56124.0,0.6571122124417487
1178,19069,Mon 08:23:30 AM,49.882,2.8393,↗ 28°,401.0,461.0,"24,450",1650.0,FlightAware ADS-B (LFQD),Arrivals,HOP1740,2025-03-24 14:11:45,57774.0,0.6723685183815371
1179,19070,Mon 08:24:00 AM,49.9301,2.8783,↗ 28°,404.0,465.0,"25,225",1425.0,FlightAware ADS-B (EHMZ),Arrivals,HOP1740,2025-03-24 14:11:45,59199.0,0.6855444189658998
1180,19071,Mon 08:24:30 AM,49.9797,2.9189,↗ 28°,409.0,471.0,"25,875",775.0,FlightAware ADS-B (LFOW),Arrivals,HOP1740,2025-03-24 14:11:45,59974.0,0.6927102596345883
