,Time,Latitude,Longitude,Course,Speed_kts,Speed_mph,Altitude_feet,ClimbRate,ReportingFacility,FlightType,FlightNumber,ScrapeTime
208,Mon 07:05:13 AM,50.0393,8.5625,← 250°,156.0,180.0,450,,FlightAware ADS-B,Arrivals,KLM1818,2025-03-24 12:58:24
209,Mon 07:05:29 AM,50.0358,8.5475,← 249°,150.0,173.0,"1,250",2484.0,FlightAware ADS-B,Arrivals,KLM1818,2025-03-24 12:58:24
210,Mon 07:05:45 AM,50.031,8.5283,← 249°,177.0,204.0,"1,775",1500.0,FlightAware ADS-B (FRA / EDDF),Arrivals,KLM1818,2025-03-24 12:58:24
211,Mon 07:06:01 AM,50.0266,8.5098,← 250°,204.0,235.0,"2,050",2109.0,FlightAware ADS-B (FRA / EDDF),Arrivals,KLM1818,2025-03-24 12:58:24
212,Mon 07:06:17 AM,50.019,8.4895,↙ 226°,208.0,239.0,"2,900",3609.0,FlightAware ADS-B (EDFZ),Arrivals,KLM1818,2025-03-24 12:58:24
213,Mon 07:06:33 AM,50.0057,8.4786,↓ 194°,210.0,242.0,"3,975",3750.0,FlightAware ADS-B (ETOU),Arrivals,KLM1818,2025-03-24 12:58:24
214,Mon 07:06:49 AM,49.9903,8.4748,↓ 187°,218.0,251.0,"4,900",2672.0,FlightAware ADS-B (FRA / EDDF),Arrivals,KLM1818,2025-03-24 12:58:24
215,Mon 07:07:05 AM,49.973,8.4723,↓ 186°,226.0,260.0,"5,400",3000.0,FlightAware ADS-B (EDEL),Arrivals,KLM1818,2025-03-24 12:58:24
216,Mon 07:07:23 AM,49.9544,8.4672,↓ 194°,226.0,260.0,"6,600",3471.0,FlightAware ADS-B (STR / EDDS),Arrivals,KLM1818,2025-03-24 12:58:24
217,Mon 07:07:40 AM,49.9374,8.4597,↓ 197°,245.0,282.0,"7,425",2871.0,FlightAware ADS-B (FRA / EDDF),Arrivals,KLM1818,2025-03-24 12:58:24
218,Mon 07:07:58 AM,49.919,8.4423,↙ 227°,260.0,299.0,"8,275",3208.0,FlightAware ADS-B (EDFV),Arrivals,KLM1818,2025-03-24 12:58:24
219,Mon 07:08:16 AM,49.9105,8.4126,← 262°,263.0,303.0,"9,350",3706.0,FlightAware ADS-B (FRA / EDDF),Arrivals,KLM1818,2025-03-24 12:58:24
220,Mon 07:08:32 AM,49.9138,8.3823,← 295°,266.0,306.0,"10,375",3682.0,FlightAware ADS-B (EDFC),Arrivals,KLM1818,2025-03-24 12:58:24
221,Mon 07:08:49 AM,49.9276,8.3568,↖ 324°,269.0,310.0,"11,375",2743.0,FlightAware ADS-B (STR / EDDS),Arrivals,KLM1818,2025-03-24 12:58:24
222,Mon 07:09:07 AM,49.9468,8.3415,↖ 336°,289.0,333.0,"11,975",1551.0,FlightAware ADS-B (EDGH),Arrivals,KLM1818,2025-03-24 12:58:24
223,Mon 07:09:48 AM,50.0062,8.3041,↖ 337°,347.0,399.0,"12,900",1831.0,FlightAware ADS-B (EDGP),Arrivals,KLM1818,2025-03-24 12:58:24
224,Mon 07:10:06 AM,50.0318,8.2899,↑ 347°,352.0,405.0,"13,775",3000.0,FlightAware ADS-B (FRA / EDDF),Arrivals,KLM1818,2025-03-24 12:58:24
